Index #,Timestamp,Formal section,Gender,Function,Vocal delivery,Environment,Layering,Width
,,,,,,,,
153,49.0652381,Chorus,M,Main,R,E2,L2,W3
,,,,,,,,
153,58.79972789,Verse,M,Main,R,E1,L2,W3
,,,,,,,,
154,9.0443125,Verse,W,Main,R,E2,L1,W4
,,,,,,,,
154,73.08529167,Chorus,M,Feat,S,E2,L2,W4
,,,,,,,,
155,8.81292517,Chorus,M,Main,S,E3,L2,W4
,,,,,,,,
155,42.83095238,Verse,M,Main,S,E2,L1,W4
,,,,,,,,
156,0,Verse,W,Neither,S,E3,L1,W4
,,,,,,,,
156,42.1491875,Chorus,W,Neither,S,E3,L3,W5
,,,,,,,,
157,5.089183673,Verse,W,Neither,S,E4,L2,W4
,,,,,,,,
157,44.45623583,Chorus,W,Neither,S,E1,L3,W4
,,,,,,,,
159,12.423,Chorus,M,Feat,S,E2,L1,W4
,,,,,,,,
159,49.70833333,Verse,M,Main,R,E2,L2,W3
,,,,,,,,
160,0,Verse,M,Main,S,E4,L1,W4
,,,,,,,,
160,30.84643991,Chorus,M,Main,S,E4,L1,W4
,,,,,,,,
161,0,Chorus,M,Main,S,E1,L1,W2
,,,,,,,,
161,20.2175,Verse,M,Main,S,E1,L1,W2
,,,,,,,,
162,0,Verse,W,Neither,S,E1,L2,W1
,,,,,,,,
162,44.0315,Chorus,W,Neither,S,E1,L2,W3
,,,,,,,,
163,0,Verse,W,Feat,S,E1,L1,W1
,,,,,,,,
163,11.97090703,Chorus,W,Feat,S,E1,L1,W1
,,,,,,,,
164,13.62786848,Chorus,M,Main,S,E5,L1,W4
,,,,,,,,
164,41.1585034,Verse,M,Feat,S,E3,L1,W4
,,,,,,,,
165,26.57038549,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
165,138.0914966,Chorus,M,Feat,S,E1,L2,W2
,,,,,,,,
166,19.83337869,Chorus,M,Neither,S,E1,L5,W5
,,,,,,,,
166,39.44036281,Verse,M,Neither,R,E3,L1,W3
,,,,,,,,
167,24.24292517,Verse,M,Main,R,E1,L1,W2
,,,,,,,,
167,89.80049887,Chorus,M,Feat,S,E4,L1,W4
,,,,,,,,
169,6.993945578,Verse,M,Feat,R,E1,L3,W4
,,,,,,,,
169,75.46650794,Chorus,M,Main,S,E3,L5,W5
,,,,,,,,
170,15.77210884,Verse,W,Feat,S,E3,L1,W4
,,,,,,,,
170,31.49430839,Chorus,W,Feat,S,E3,L1,W4
,,,,,,,,
171,19.86208333,Verse,W,Main,S,E2,L2,W4
,,,,,,,,
171,65.31841667,Chorus,W,Main,S,E1,L4,W5
,,,,,,,,
172,10.14922903,Verse,W,Main,R,E2,L1,W3
,,,,,,,,
172,37.94596372,Chorus,W,Feat,S,E3,L5,W5
,,,,,,,,
173,11.7075283,Verse,M,Main,S,E3,L2,W4
,,,,,,,,
173,40.4527438,Dance Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
175,9.206530612,Chorus,W,Feat,S,E1,L3,W1
,,,,,,,,
175,38.70587302,Verse,M,Main,R,E1,L3,W1
,,,,,,,,
177,0,Chorus,W,Feat,S,E5,L1,W4
,,,,,,,,
177,19.2271875,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
179,11.75528345,Chorus,W,Feat,S,E2,L4,W5
,,,,,,,,
179,38.04596372,Verse,W,Main,R,E1,L2,W3
,,,,,,,,
180,0,Verse,W,Neither,S,E3,L1,W4
,,,,,,,,
180,27.70122449,Chorus,W,Neither,S,E3,L5,W5
,,,,,,,,
182,10.0075737,Verse,M,Feat,R,E3,L1,W3
,,,,,,,,
182,39.0461678,Chorus,M,Main,S,E3,L5,W5
,,,,,,,,
183,69.9349792,Verse,W,Main,S,E3,L1,W3
,,,,,,,,
183,153.000938,Chorus,W,Main,S,E3,L1,W3
,,,,,,,,
184,7.55984127,Verse,W,Main,S,E5,L1,W4
,,,,,,,,
184,37.07637188,Chorus,W,Main,S,E5,L4,W5
,,,,,,,,
186,28.19965986,Chorus,M,Main,R,E1,L4,W4
,,,,,,,,
186,41.32750567,Verse,M,Main,S,E1,L2,W3
,,,,,,,,
187,16.83063492,Verse,W,Feat,S,E4,L1,W3
,,,,,,,,
187,64.39,Chorus,W,Feat,S,E1,L5,W5
,,,,,,,,
188,9.891111111,Chorus,M,Main,S,E3,L4,W5
,,,,,,,,
188,39.3322449,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
189,19.70863946,Chorus,M,Feat,S,E2,L5,W5
,,,,,,,,
189,39.35315193,Verse,M,Main,S,E3,L2,W4
,,,,,,,,
190,15.84820862,Verse,M,Main,S,E1,L1,W1
,,,,,,,,
190,37.70956916,Chorus,M,Main,S,E1,L5,W5
,,,,,,,,
191,11.29031746,Chorus,M,Feat,S,E2,L1,W3
,,,,,,,,
191,33.73507937,Verse,M,Main,S,E3,L1,W4
,,,,,,,,
192,5.635854167,Verse,W,Main,S,E3,L1,W4
,,,,,,,,
192,43.62322917,Chorus,W,Main,S,E3,L3,W4
,,,,,,,,
193,21.64773243,Chorus,M,Feat,S,E3,L1,W3
,,,,,,,,
193,43.19038549,Verse,M,Feat,S,E3,L1,W3
,,,,,,,,
194,13.75421769,Verse,M,Main,S,E2,L2,W4
,,,,,,,,
194,67.87752835,Chorus,M,Main,S,E2,L5,W5
,,,,,,,,
195,16.8814059,Verse,M,Neither,S,E1,L1,W1
,,,,,,,,
195,53.69369615,Chorus,M,Neither,S,E1,L4,W5
,,,,,,,,
197,19.88408333,Verse,W,Main,S,E3,L1,W4
,,,,,,,,
197,59.2968125,Chorus,W,Main,S,E1,L2,W5
,,,,,,,,
198,8.0949375,Verse,W,Main,S,E5,L1,W4
,,,,,,,,
198,35.77925,Chorus,W,Main,S,E1,L2,W4
,,,,,,,,
199,11.32295833,Chorus,M,Main,R,E1,L4,W5
,,,,,,,,
199,31.38954167,Verse,M,Main,R,E1,L3,W3
,,,,,,,,
200,0,Chorus,M,Feat,R,E4,L1,W3
,,,,,,,,
200,33.97773243,Verse,M,Feat,R,E4,L1,W3
,,,,,,,,
201,13.8804375,Chorus,W,Neither,R,E2,L4,W5
,,,,,,,,
201,41.30189583,Verse,W,Neither,R,E2,L3,W4
,,,,,,,,
202,17.69247166,Verse,M,Main,R,E1,L4,W5
,,,,,,,,
202,50.61387755,Chorus,W,Feat,S,E2,L1,W4
,,,,,,,,
203,0,Verse,W,Feat,S,E5,L2,W4
,,,,,,,,
203,30.84777778,Chorus,W,Feat,S,E5,L1,W4
,,,,,,,,
204,13.07521542,Chorus,M,Feat,S,E2,L3,W5
,,,,,,,,
204,41.73480726,Verse,M,Main,S,E2,L1,W3
,,,,,,,,
206,23.45131519,Chorus,M,Feat,S,E1,L4,W5
,,,,,,,,
206,43.68154195,Verse,M,Main,R,E1,L1,W1
,,,,,,,,
207,18.2014059,Verse,M,Main,S,E3,L1,W3
,,,,,,,,
207,50.22578231,Chorus,M,Main,S,E1,L4,W5
,,,,,,,,
